Gene Symbol,Differential Expression,Whole-Gene ID,Chromosome,Genomic Coordinates,Whole Gene P-value,Whole Gene Correlation with LSI,Isoform ID,Isoform P-value,Isoform Correlation with LSI,Known Stress Gene?
NEK8,Both,ENSG00000160602.9,chr17,27052915-27070473,0.044928768,-0.4569811,ENST00000268766.6,0.03943594,-0.5057882,TRUE
TRAF4,Both,ENSG00000076604.10,chr17,27071002-27077974,0.01860142,-0.5424472,ENST00000262395.5,0.014235375,-0.5818429,TRUE
DHRS13,Isoform-Only,ENST00000581759.1,chr17,27228130-27229144,NA,NA,ENST00000581759.1,0.038580001,0.4447242,FALSE
MYO18A,Isoform-Only,ENST00000529578.1,chr17,27400537-27418537,NA,NA,ENST00000529578.1,0.044644622,-0.5101247,FALSE
TIAF1,Isoform-Only,ENST00000408971.2,chr17,27400537-27418537,NA,NA,ENST00000408971.2,0.044644622,-0.5101247,FALSE
EVI2A,Isoform-Only,ENST00000247270.3,chr17,29644578-29648767,NA,NA,ENST00000247270.3,0.024594424,0.5075248,FALSE
AC090616.2,Both,ENSG00000214708.4,chr17,30468245-30470154,0.033619362,-0.4742488,ENST00000398832.2,0.025764117,-0.5134485,FALSE
CCL3L3,Both,ENSG00000256515.3,chr17,34522268-34524157,0.005735618,0.5490958,ENST00000588817.1,0.011943947,0.5308406,FALSE
CCL4L1,Isoform-Only,ENST00000588929.1,chr17,34538465-34540280,NA,NA,ENST00000588929.1,0.033128402,-0.4732759,FALSE
CCL3L1,Isoform-Only,ENST00000498676.1,chr17,34623842-34625716,NA,NA,ENST00000498676.1,0.014543603,0.5279491,FALSE
SHPK,Both,ENSG00000197417.7,chr17,3511556-3539616,0.028269985,-0.4876369,ENST00000225519.3,0.015164952,-0.571213,FALSE
ACACA,Isoform-Only,ENST00000591119.1,chr17,35441933-35562726,NA,NA,ENST00000591119.1,0.041272724,-0.4875806,TRUE
MRPL45,Both,ENSG00000174100.5,chr17,36452989-36479101,0.049989263,-0.4491714,ENST00000312513.5,0.026233953,-0.514737,FALSE
CTB-58E17.1,Isoform-Only,ENST00000563897.1,chr17,36858705-36861000,NA,NA,ENST00000563897.1,0.032671136,-0.5171326,FALSE
PSMB3,Isoform-Only,ENST00000583873.1,chr17,36918304-36920478,NA,NA,ENST00000583873.1,0.042742829,-0.4089306,TRUE
RPL23,Isoform-Only,ENST00000245857.5,chr17,37006334-37009681,NA,NA,ENST00000245857.5,0.032841648,-0.4959719,TRUE
CAMKK1,Whole-Gene-Only,ENSG00000004660.10,chr17,3763609-3798185,0.048076748,0.471711,NA,NA,NA,FALSE
PPP1R1B,Isoform-Only,ENST00000394265.1,chr17,37784751-37792878,NA,NA,ENST00000394265.1,0.046827543,-0.4612242,TRUE
GRB7,Isoform-Only,ENST00000309156.4,chr17,37894180-37903537,NA,NA,ENST00000309156.4,0.00202873,-0.6483158,FALSE
KRT24,Both,ENSG00000167916.4,chr17,38854243-38860002,0.044926594,-0.4169666,ENST00000264651.2,0.036775354,-0.4478286,FALSE
KRT13,Isoform-Only,ENST00000336861.3,chr17,39657233-39661849,NA,NA,ENST00000336861.3,0.049436701,-0.4645637,FALSE
KRT19,Isoform-Only,ENST00000462611.1,chr17,39681230-39681924,NA,NA,ENST00000462611.1,0.025346458,-0.511241,TRUE
CNP,Isoform-Only,ENST00000393888.1,chr17,40118833-40127194,NA,NA,ENST00000393888.1,0.042357845,-0.5123932,TRUE
EZH1,Isoform-Only,ENST00000586103.1,chr17,40855211-40897033,NA,NA,ENST00000586103.1,0.044311044,0.4799546,FALSE
BECN1,Isoform-Only,ENST00000588276.1,chr17,40962328-40966691,NA,NA,ENST00000588276.1,0.019677249,-0.5260852,FALSE
BECN1,Isoform-Only,ENST00000590185.1,chr17,40962798-40964104,NA,NA,ENST00000590185.1,0.027329004,-0.5270789,FALSE
TMUB2,Isoform-Only,ENST00000587172.1,chr17,42266301-42269099,NA,NA,ENST00000587172.1,0.020545944,0.5190448,FALSE
PLEKHM1,Isoform-Only,ENST00000580205.1,chr17,43530304-43537798,NA,NA,ENST00000580205.1,0.047866017,-0.4126309,FALSE
GOSR2,Both,ENSG00000108433.11,chr17,45000483-45105003,0.048582018,-0.4590545,ENST00000576910.2,0.018773456,-0.5241196,FALSE
MRPL10,Isoform-Only,ENST00000414011.1,chr17,45900856-45908900,NA,NA,ENST00000414011.1,0.000323515,-0.7461116,FALSE
SP6,Isoform-Only,ENST00000342234.2,chr17,45922279-45933240,NA,NA,ENST00000342234.2,0.022673958,-0.5228789,FALSE
SNX11,Both,ENSG00000002919.10,chr17,46180719-46200436,0.017043778,0.6068316,ENST00000393405.2,0.026577626,0.5186799,FALSE
SLC25A11,Isoform-Only,ENST00000574710.1,chr17,4840612-4843325,NA,NA,ENST00000574710.1,0.033767281,0.4972718,FALSE
EPN3,Isoform-Only,ENST00000268933.3,chr17,48609904-48621111,NA,NA,ENST00000268933.3,0.000100295,-0.7961279,FALSE
ABCC3,Both,ENSG00000108846.11,chr17,48712138-48769613,0.019134124,-0.5349808,ENST00000503337.1,0.018117887,-0.5505675,TRUE
KIF1C,Isoform-Only,ENST00000573815.1,chr17,4917489-4925560,NA,NA,ENST00000573815.1,0.011291722,-0.56382,FALSE
NME1,Whole-Gene-Only,ENSG00000239672.3,chr17,49230897-49239789,0.048457611,-0.4021046,NA,NA,NA,FALSE
COX11,Whole-Gene-Only,ENSG00000166260.6,chr17,53029263-53046146,0.036052987,-0.4739897,NA,NA,NA,FALSE
CTD-2319I12.1,Isoform-Only,ENST00000589987.1,chr17,58160927-58165618,NA,NA,ENST00000589987.1,0.031991983,-0.5191506,FALSE
CTD-2319I12.1,Isoform-Only,ENST00000589777.1,chr17,58160961-58162762,NA,NA,ENST00000589777.1,0.001818385,-0.6579708,FALSE
RP11-3K24.1,Whole-Gene-Only,ENSG00000241157.1,chr17,58322649-58323008,0.017978397,0.5286088,NA,NA,NA,FALSE
DCAF7,Isoform-Only,ENST00000310827.4,chr17,61627822-61671639,NA,NA,ENST00000310827.4,0.036111359,-0.4711814,FALSE
ICAM2,Whole-Gene-Only,ENSG00000108622.6,chr17,62079954-62097994,0.021525027,0.5213386,NA,NA,NA,FALSE
FAM57A,Whole-Gene-Only,ENSG00000167695.10,chr17,635652-646206,0.00331353,-0.6280609,NA,NA,NA,FALSE
CEP112,Whole-Gene-Only,ENSG00000154240.12,chr17,63631656-64188202,0.016479675,-0.518591,NA,NA,NA,FALSE
GEMIN4,Both,ENSG00000179409.6,chr17,647654-657239,0.030264741,-0.4879177,ENST00000319004.5,0.016570497,-0.5141925,FALSE
GLOD4,Isoform-Only,ENST00000571073.1,chr17,662563-680932,NA,NA,ENST00000571073.1,0.036675609,-0.4870749,FALSE
PRKAR1A,Isoform-Only,ENST00000536854.2,chr17,66508591-66528903,NA,NA,ENST00000536854.2,0.046327396,0.4561064,TRUE
FAM20A,Isoform-Only,ENST00000590873.1,chr17,66533262-66539810,NA,NA,ENST00000590873.1,0.040674381,-0.4746299,FALSE
AC079210.1,Whole-Gene-Only,ENSG00000269657.1,chr17,66539369-66542970,0.041965737,0.4704737,NA,NA,NA,FALSE
KCNJ2,Whole-Gene-Only,ENSG00000123700.4,chr17,68164814-68176189,0.04405425,0.4959593,NA,NA,NA,TRUE
CLDN7,Both,ENSG00000181885.14,chr17,7163222-7167302,0.026599459,-0.5352035,ENST00000360325.7,0.027317557,-0.5463452,FALSE
SLC2A4,Whole-Gene-Only,ENSG00000181856.10,chr17,7184986-7191576,0.03259089,-0.4300535,NA,NA,NA,FALSE
ACAP1,Both,ENSG00000072818.7,chr17,7239848-7254797,0.021941292,0.5238506,ENST00000158762.3,0.037377343,0.5073559,TRUE
ACAP1,Both,ENSG00000072818.7,chr17,7239848-7254797,0.021941292,0.5238506,ENST00000570439.1,0.044693593,0.497129,TRUE
TNK1,Both,ENSG00000174292.8,chr17,7283853-7293093,0.001665302,-0.6020239,ENST00000311668.2,0.003658532,-0.6198544,FALSE
GRB2,Isoform-Only,ENST00000462266.1,chr17,73316426-73322419,NA,NA,ENST00000462266.1,0.006358205,-0.5700331,TRUE
CHRNB1,Whole-Gene-Only,ENSG00000170175.6,chr17,7348380-7361026,0.015962489,0.5132163,NA,NA,NA,FALSE
LLGL2,Isoform-Only,ENST00000375227.4,chr17,73521813-73560802,NA,NA,ENST00000375227.4,0.001675167,-0.6500183,TRUE
MYO15B,Both,ENSG00000266714.2,chr17,73584139-73622929,0.028398028,0.5145369,ENST00000577342.1,0.045712792,0.48572,FALSE
MYO15B,Both,ENSG00000266714.2,chr17,73584139-73622929,0.028398028,0.5145369,ENST00000580262.1,0.011171682,0.5919615,FALSE
SMIM5,Isoform-Only,ENST00000375215.3,chr17,73629514-73637484,NA,NA,ENST00000375215.3,0.031486472,-0.5106679,FALSE
WBP2,Isoform-Only,ENST00000585462.1,chr17,73841790-73851403,NA,NA,ENST00000585462.1,0.049838395,0.4475886,FALSE
CDK3,Isoform-Only,ENST00000425876.2,chr17,73997419-74002080,NA,NA,ENST00000425876.2,0.021628691,0.5099343,FALSE
SRP68,Whole-Gene-Only,ENSG00000167881.10,chr17,74035184-74068734,0.027196376,-0.5208901,NA,NA,NA,FALSE
ZACN,Whole-Gene-Only,ENSG00000186919.8,chr17,74068042-74079747,0.045645524,0.4405633,NA,NA,NA,FALSE
ST6GALNAC2,Whole-Gene-Only,ENSG00000070731.5,chr17,74559792-74583038,0.035623777,0.544893,NA,NA,NA,FALSE
RP11-666A8.9,Both,ENSG00000267078.1,chr17,74565874-74567322,0.00874292,0.5668365,ENST00000588104.1,0.045749269,0.467175,FALSE
TNFSF13,Isoform-Only,ENST00000483039.1,chr17,7461609-7464609,NA,NA,ENST00000483039.1,0.012116786,-0.572105,FALSE
ST6GALNAC1,Whole-Gene-Only,ENSG00000070526.10,chr17,74620843-74639920,0.009029889,-0.5715507,NA,NA,NA,FALSE
CD68,Both,ENSG00000129226.9,chr17,7482785-7485429,0.019589429,-0.5832753,ENST00000584180.1,0.001860881,-0.6589886,FALSE
SEC14L1,Both,ENSG00000129657.10,chr17,75082798-75213179,0.009823379,0.6756925,ENST00000587821.1,0.032138232,0.5021178,FALSE
SAT2,Isoform-Only,ENST00000570914.1,chr17,7529555-7530457,NA,NA,ENST00000570914.1,0.000322792,-0.7551354,FALSE
C1QTNF1,Isoform-Only,ENST00000311661.4,chr17,77020343-77045869,NA,NA,ENST00000311661.4,0.029978911,-0.4903394,FALSE
ENGASE,Isoform-Only,ENST00000300682.10,chr17,77076394-77084681,NA,NA,ENST00000300682.10,0.047488422,-0.500494,FALSE
EIF4A3,Both,ENSG00000141543.5,chr17,78109013-78120982,0.035941328,0.5191557,ENST00000570625.1,0.016521745,0.492663,FALSE
EIF4A3,Both,ENSG00000141543.5,chr17,78109013-78120982,0.035941328,0.5191557,ENST00000575978.1,0.015354453,0.5621756,FALSE
SGSH,Isoform-Only,ENST00000575282.1,chr17,78183081-78194121,NA,NA,ENST00000575282.1,0.01695563,-0.538067,FALSE
KCNAB3,Isoform-Only,ENST00000570587.1,chr17,7826257-7832753,NA,NA,ENST00000570587.1,0.037008811,0.522172,FALSE
BAIAP2-AS1,Both,ENSG00000226137.3,chr17,79002933-79008501,0.029239382,0.5049035,ENST00000577066.1,0.037503084,0.5211892,FALSE
C17orf89,Both,ENSG00000224877.3,chr17,79213039-79215081,0.01410076,-0.5093529,ENST00000576002.1,0.011616416,-0.5595725,FALSE
ARHGDIA,Isoform-Only,ENST00000582984.1,chr17,79826746-79829213,NA,NA,ENST00000582984.1,0.008361881,-0.5981921,TRUE
RFNG,Isoform-Only,ENST00000580793.1,chr17,80005778-80008390,NA,NA,ENST00000580793.1,0.040179962,0.4891343,FALSE
AC132872.1,Whole-Gene-Only,ENSG00000184551.4,chr17,80206943-80209703,0.049038584,0.4444535,NA,NA,NA,FALSE
ZNF750,Whole-Gene-Only,ENSG00000141579.6,chr17,80787311-80798454,0.017907002,-0.5783777,NA,NA,NA,FALSE
RNF222,Whole-Gene-Only,ENSG00000189051.5,chr17,8294022-8301144,0.021861769,-0.527298,NA,NA,NA,FALSE
STX8,Isoform-Only,ENST00000574431.1,chr17,9153804-9479154,NA,NA,ENST00000574431.1,0.006014801,-0.616623,TRUE
USP43,Whole-Gene-Only,ENSG00000154914.12,chr17,9548015-9633008,0.045504517,-0.4590442,NA,NA,NA,FALSE
GAS7,Whole-Gene-Only,ENSG00000007237.14,chr17,9813926-10101868,0.04750186,0.4694648,NA,NA,NA,FALSE
ROCK1P1,Both,ENSG00000263006.2,chr18,109065-122219,0.030690345,-0.4762126,ENST00000608049.1,0.03242176,-0.4888137,FALSE
GNAL,Whole-Gene-Only,ENSG00000141404.11,chr18,11688955-11885684,0.048513229,0.4523745,NA,NA,NA,TRUE
MPPE1,Isoform-Only,ENST00000592447.1,chr18,11884194-11897276,NA,NA,ENST00000592447.1,0.042767679,0.4916491,TRUE
IMPA2,Both,ENSG00000141401.7,chr18,11981024-12030876,0.018856657,0.5685679,ENST00000589374.1,0.038593991,0.5607249,TRUE
TUBB6,Both,ENSG00000176014.8,chr18,12307668-12344319,0.018430523,-0.534188,ENST00000317702.5,0.047832479,-0.504116,TRUE
TUBB6,Both,ENSG00000176014.8,chr18,12307668-12344319,0.018430523,-0.534188,ENST00000591909.1,0.007540735,-0.6003305,TRUE
SPIRE1,Both,ENSG00000134278.10,chr18,12446511-12658133,0.011463084,-0.5556975,ENST00000410092.3,0.021149386,-0.5243142,FALSE
LDLRAD4,Isoform-Only,ENST00000585931.1,chr18,13611763-13646733,NA,NA,ENST00000585931.1,0.001485169,-0.6926766,FALSE
RNMT,Isoform-Only,ENST00000262173.3,chr18,13731473-13764554,NA,NA,ENST00000262173.3,0.039410926,-0.468007,FALSE
ESCO1,Isoform-Only,ENST00000269214.5,chr18,19109242-19180697,NA,NA,ENST00000269214.5,0.024247379,-0.5205852,FALSE
RIOK3,Isoform-Only,ENST00000577501.1,chr18,21033272-21061464,NA,NA,ENST00000577501.1,0.029476419,-0.4940764,FALSE
C18orf8,Isoform-Only,ENST00000589409.1,chr18,21109930-21111743,NA,NA,ENST00000589409.1,0.002894219,-0.5960032,FALSE
TGIF1,Isoform-Only,ENST00000472042.1,chr18,3455412-3458409,NA,NA,ENST00000472042.1,0.02920795,-0.5037545,TRUE
PIK3C3,Isoform-Only,ENST00000262039.4,chr18,39535171-39667794,NA,NA,ENST00000262039.4,0.028610932,-0.4961664,TRUE
ATP5A1,Isoform-Only,ENST00000398752.6,chr18,43664116-43678319,NA,NA,ENST00000398752.6,0.04490621,-0.4981466,TRUE
RP11-380M21.2,Both,ENSG00000267541.1,chr18,45379604-45379828,0.015035601,-0.5004508,ENST00000591258.1,0.021474445,-0.492578,FALSE
ZBTB7C,Isoform-Only,ENST00000332053.2,chr18,45553748-45567494,NA,NA,ENST00000332053.2,0.019690348,-0.52798,FALSE
MBD1,Isoform-Only,ENST00000592060.1,chr18,47793256-47803367,NA,NA,ENST00000592060.1,0.042662816,-0.4776028,FALSE
TCF4,Whole-Gene-Only,ENSG00000196628.9,chr18,52889562-53332018,0.034904581,-0.5209421,NA,NA,NA,TRUE
EPB41L3,Isoform-Only,ENST00000578618.1,chr18,5392385-5399565,NA,NA,ENST00000578618.1,0.010446598,-0.5834889,FALSE
NEDD4L,Isoform-Only,ENST00000431212.2,chr18,55888767-56063810,NA,NA,ENST00000431212.2,3.30E-05,-0.803391,TRUE
SEC11C,Isoform-Only,ENST00000588875.1,chr18,56807131-56826064,NA,NA,ENST00000588875.1,0.007955378,-0.6602769,FALSE
RNF152,Both,ENSG00000176641.6,chr18,59475296-59561480,0.003922762,-0.6150736,ENST00000312828.3,0.012803462,-0.5640232,FALSE
SERPINB13,Isoform-Only,ENST00000269489.5,chr18,61254534-61266430,NA,NA,ENST00000269489.5,0.026657115,-0.493227,FALSE
SERPINB3,Isoform-Only,ENST00000283752.5,chr18,61322431-61329197,NA,NA,ENST00000283752.5,0.01287702,-0.5214234,FALSE
SERPINB11,Isoform-Only,ENST00000544088.1,chr18,61370194-61391123,NA,NA,ENST00000544088.1,0.019078929,-0.5242211,FALSE
SERPINB8,Both,ENSG00000166401.9,chr18,61637159-61672278,0.017117703,-0.5543524,ENST00000353706.2,5.05E-05,-0.7490195,FALSE
CNDP2,Whole-Gene-Only,ENSG00000133313.10,chr18,72163051-72188366,0.026041978,-0.4979944,NA,NA,NA,FALSE
ZADH2,Whole-Gene-Only,ENSG00000180011.6,chr18,72907063-72921303,0.041561618,-0.4886553,NA,NA,NA,FALSE
HSBP1L1,Isoform-Only,ENST00000587347.1,chr18,77727493-77730805,NA,NA,ENST00000587347.1,0.033610233,-0.4757259,FALSE
HSBP1L1,Isoform-Only,ENST00000590571.1,chr18,77730043-77730817,NA,NA,ENST00000590571.1,0.02522447,-0.5135102,FALSE
RBFA,Whole-Gene-Only,ENSG00000101546.8,chr18,77794358-77806397,0.014426778,-0.5107005,NA,NA,NA,FALSE
RP11-881L2.1,Whole-Gene-Only,ENSG00000266541.1,chr18,9587384-9590180,0.038774242,0.45426,NA,NA,NA,FALSE
RAB31,Isoform-Only,ENST00000580361.1,chr18,9814045-9815435,NA,NA,ENST00000580361.1,0.012338579,-0.555716,FALSE
TYK2,Isoform-Only,ENST00000525621.1,chr19,10461209-10491352,NA,NA,ENST00000525621.1,0.041292555,0.4576388,FALSE
ILF3,Isoform-Only,ENST00000407004.3,chr19,10765004-10796441,NA,NA,ENST00000407004.3,0.001222891,-0.7104088,TRUE
SBNO2,Isoform-Only,ENST00000587024.1,chr19,1107640-1174255,NA,NA,ENST00000587024.1,0.038335911,0.4683735,FALSE
PRKCSH,Isoform-Only,ENST00000592741.1,chr19,11546456-11561783,NA,NA,ENST00000592741.1,0.045916636,0.4606337,FALSE
ZNF441,Isoform-Only,ENST00000357901.4,chr19,11877907-11894893,NA,NA,ENST00000357901.4,0.040340291,-0.4867184,FALSE
IER2,Whole-Gene-Only,ENSG00000160888.6,chr19,13261229-13265722,0.026841806,0.5549443,NA,NA,NA,FALSE
ZSWIM4,Whole-Gene-Only,ENSG00000132003.5,chr19,13906274-13943044,0.044571606,-0.4928787,NA,NA,NA,FALSE
PKN1,Isoform-Only,ENST00000585839.1,chr19,14544135-14582679,NA,NA,ENST00000585839.1,0.014439282,0.5548506,TRUE
DNAJB1,Both,ENSG00000132002.3,chr19,14625582-14640582,0.031610882,-0.5169638,ENST00000254322.2,0.040977067,-0.5440631,TRUE
EMR2,Isoform-Only,ENST00000360222.4,chr19,14846388-14889353,NA,NA,ENST00000360222.4,0.045039678,0.426818,FALSE
UCA1,Isoform-Only,ENST00000397381.4,chr19,15939771-15947130,NA,NA,ENST00000397381.4,0.032986738,-0.5154726,FALSE
TPM4,Isoform-Only,ENST00000588032.1,chr19,16198869-16213187,NA,NA,ENST00000588032.1,0.04242101,-0.4679422,FALSE
TPM4,Isoform-Only,ENST00000592822.1,chr19,16204382-16206238,NA,NA,ENST00000592822.1,0.030010002,-0.5069964,FALSE
KLF2,Whole-Gene-Only,ENSG00000127528.5,chr19,16435628-16438685,0.049643927,0.4427703,NA,NA,NA,TRUE
EPS15L1,Both,ENSG00000127527.9,chr19,16466050-16582896,0.034811136,0.5375809,ENST00000599790.1,0.049492553,0.4315096,TRUE
GTPBP3,Whole-Gene-Only,ENSG00000130299.12,chr19,17445729-17453544,0.001578487,-0.6757233,NA,NA,NA,FALSE
INSL3,Isoform-Only,ENST00000317306.7,chr19,17927321-17932332,NA,NA,ENST00000317306.7,0.033423427,0.4848749,FALSE
UBA52,Isoform-Only,ENST00000596273.1,chr19,18682665-18686039,NA,NA,ENST00000596273.1,0.007290284,-0.5346199,FALSE
MEF2B,Isoform-Only,ENST00000409447.2,chr19,19256402-19281098,NA,NA,ENST00000409447.2,0.042833538,0.479769,TRUE
AP3D1,Isoform-Only,ENST00000350812.6,chr19,2100995-2151539,NA,NA,ENST00000350812.6,0.011848113,-0.5088538,TRUE
ZNF714,Both,ENSG00000160352.11,chr19,21264965-21308073,0.001685183,-0.678077,ENST00000596143.1,0.006390779,-0.6521712,FALSE
ZNF429,Whole-Gene-Only,ENSG00000197013.5,chr19,21679484-21739072,0.038345915,0.4510026,NA,NA,NA,FALSE
ZNF100,Whole-Gene-Only,ENSG00000197020.6,chr19,21905568-21950430,0.035001463,0.4688922,NA,NA,NA,FALSE
PLEKHJ1,Isoform-Only,ENST00000588450.1,chr19,2233153-2236262,NA,NA,ENST00000588450.1,0.025736319,-0.4967353,FALSE
GADD45B,Isoform-Only,ENST00000586759.1,chr19,2476120-2476636,NA,NA,ENST00000586759.1,0.046299205,0.4534737,TRUE
GADD45B,Isoform-Only,ENST00000592937.1,chr19,2476125-2478257,NA,NA,ENST00000592937.1,0.03409763,0.5139832,TRUE
ZNF554,Both,ENSG00000172006.7,chr19,2819872-2835771,0.015961316,-0.5355682,ENST00000588534.1,0.033089124,-0.5077666,FALSE
ZNF555,Both,ENSG00000186300.7,chr19,2841433-2860482,0.020109997,-0.515127,ENST00000591539.1,0.00546418,-0.6128354,FALSE
UQCRFS1,Both,ENSG00000169021.4,chr19,29698173-29704448,0.038629222,-0.5090724,ENST00000304863.4,0.030852773,-0.588013,FALSE
AES,Isoform-Only,ENST00000592330.1,chr19,3053406-3062188,NA,NA,ENST00000592330.1,0.036425486,-0.4654677,FALSE
NCLN,Both,ENSG00000125912.6,chr19,3185561-3209573,0.020368929,0.5309136,ENST00000592737.1,0.041201036,0.4992532,FALSE
PEPD,Whole-Gene-Only,ENSG00000124299.9,chr19,33877856-34012700,0.030520628,-0.4993295,NA,NA,NA,TRUE
UBA2,Isoform-Only,ENST00000592791.1,chr19,34949619-34960303,NA,NA,ENST00000592791.1,0.011744281,-0.5616964,FALSE
LSR,Isoform-Only,ENST00000427250.1,chr19,35739905-35758865,NA,NA,ENST00000427250.1,0.007943462,-0.5658409,FALSE
LSR,Isoform-Only,ENST00000605618.1,chr19,35739905-35758865,NA,NA,ENST00000605618.1,0.007943462,-0.5658409,FALSE
TBCB,Isoform-Only,ENST00000586868.1,chr19,36606974-36616849,NA,NA,ENST00000586868.1,0.000795989,-0.7036119,TRUE
SPINT2,Isoform-Only,ENST00000585357.1,chr19,38779046-38783108,NA,NA,ENST00000585357.1,0.041331055,-0.4881388,TRUE
AC104534.3,Both,ENSG00000268083.1,chr19,39308111-39330818,0.027055196,-0.4357958,ENST00000594769.1,0.02740611,-0.4681218,FALSE
HNRNPL,Isoform-Only,ENST00000388749.3,chr19,39327035-39342987,NA,NA,ENST00000388749.3,0.012548319,-0.5022338,TRUE
NCCRP1,Whole-Gene-Only,ENSG00000188505.4,chr19,39687601-39692524,0.039143409,-0.47992,NA,NA,NA,FALSE
ZFP36,Both,ENSG00000128016.4,chr19,39897453-39900052,0.011267026,0.5804505,ENST00000248673.3,0.031903808,0.5104479,TRUE
PLEKHG2,Whole-Gene-Only,ENSG00000090924.10,chr19,39903225-39919054,0.034573002,-0.5095803,NA,NA,NA,FALSE
PSMC4,Isoform-Only,ENST00000593455.1,chr19,40477077-40487315,NA,NA,ENST00000593455.1,0.020858194,0.5242971,FALSE
SHKBP1,Isoform-Only,ENST00000598907.1,chr19,41084102-41086789,NA,NA,ENST00000598907.1,0.036848902,0.4966861,FALSE
CEACAM1,Whole-Gene-Only,ENSG00000079385.17,chr19,43011456-43065386,0.036220293,-0.518136,NA,NA,NA,FALSE
CEACAM8,Whole-Gene-Only,ENSG00000124469.6,chr19,43084393-43099207,0.021712801,0.4911627,NA,NA,NA,FALSE
STAP2,Isoform-Only,ENST00000594605.1,chr19,4324040-4338874,NA,NA,ENST00000594605.1,0.042025368,-0.4724294,FALSE
KCNN4,Isoform-Only,ENST00000600909.1,chr19,44270685-44273129,NA,NA,ENST00000600909.1,0.0128303,-0.5648407,TRUE
UBXN6,Isoform-Only,ENST00000301281.6,chr19,4445003-4457819,NA,NA,ENST00000301281.6,0.033996734,-0.4680368,FALSE
APOC1,Whole-Gene-Only,ENSG00000130208.5,chr19,45417504-45422606,0.018113798,-0.3988939,NA,NA,NA,FALSE
GEMIN7,Both,ENSG00000142252.6,chr19,45582453-45594782,0.010047394,0.5759718,ENST00000591607.1,0.017177781,0.5813015,FALSE
SAE1,Whole-Gene-Only,ENSG00000142230.7,chr19,47616531-47713886,0.025030972,-0.5627533,NA,NA,NA,FALSE
SEPW1,Isoform-Only,ENST00000601937.1,chr19,48284072-48287943,NA,NA,ENST00000601937.1,0.032631312,-0.5037027,FALSE
KDELR1,Isoform-Only,ENST00000330720.2,chr19,48885827-48894810,NA,NA,ENST00000330720.2,0.027940338,-0.4460415,TRUE
GRWD1,Whole-Gene-Only,ENSG00000105447.8,chr19,48949030-48960279,0.025696606,-0.5009484,NA,NA,NA,FALSE
PPP1R15A,Both,ENSG00000087074.7,chr19,49375649-49379314,0.030369038,0.5524137,ENST00000600406.1,0.035372059,0.5440151,TRUE
AC018766.5,Isoform-Only,ENST00000599259.1,chr19,50361552-50362283,NA,NA,ENST00000599259.1,0.03922694,0.5047812,FALSE
ATF5,Isoform-Only,ENST00000423777.2,chr19,50432400-50437192,NA,NA,ENST00000423777.2,0.030650796,-0.5228159,TRUE
C19orf48,Whole-Gene-Only,ENSG00000167747.9,chr19,51300961-51308186,0.019723615,-0.4956879,NA,NA,NA,FALSE
KLK6,Both,ENSG00000167755.9,chr19,51461887-51472929,0.009643906,-0.550049,ENST00000391808.1,0.018761261,-0.498303,TRUE
KLK11,Isoform-Only,ENST00000594827.1,chr19,51525946-51529872,NA,NA,ENST00000594827.1,0.014575748,-0.5617726,FALSE
ZNF83,Whole-Gene-Only,ENSG00000167766.14,chr19,53097313-53193749,0.022800951,-0.538794,NA,NA,NA,FALSE
MYADM,Whole-Gene-Only,ENSG00000179820.11,chr19,54369477-54379691,0.04415386,0.4757317,NA,NA,NA,TRUE
VSTM1,Whole-Gene-Only,ENSG00000189068.5,chr19,54544079-54567207,0.036475582,0.4647084,NA,NA,NA,FALSE
TSEN34,Isoform-Only,ENST00000429671.2,chr19,54694138-54697585,NA,NA,ENST00000429671.2,0.028482746,0.5085658,FALSE
FCAR,Isoform-Only,ENST00000469767.1,chr19,55385736-55400434,NA,NA,ENST00000469767.1,0.043224227,0.4957639,FALSE
FCAR,Isoform-Only,ENST00000488066.1,chr19,55385736-55400434,NA,NA,ENST00000488066.1,0.017654457,-0.476035,FALSE
RDH13,Isoform-Only,ENST00000586331.1,chr19,55550479-55553257,NA,NA,ENST00000586331.1,0.04537387,-0.4536719,TRUE
ZNF784,Whole-Gene-Only,ENSG00000179922.5,chr19,56132108-56135967,0.034827973,0.485408,NA,NA,NA,FALSE
ZNF586,Whole-Gene-Only,ENSG00000083828.11,chr19,58281023-58331307,0.037570951,0.4915396,NA,NA,NA,FALSE
ZNF587B,Whole-Gene-Only,ENSG00000269343.2,chr19,58331099-58370018,0.038760643,0.4943126,NA,NA,NA,FALSE
ZNF587,Whole-Gene-Only,ENSG00000198466.8,chr19,58361225-58376480,0.028520307,0.559298,NA,NA,NA,FALSE
CTD-2583A14.8,Whole-Gene-Only,ENSG00000269867.1,chr19,58378406-58379540,0.020347146,0.5187471,NA,NA,NA,FALSE
TRIM28,Isoform-Only,ENST00000597995.1,chr19,59059129-59060456,NA,NA,ENST00000597995.1,0.046268535,-0.4631795,TRUE
UBE2M,Isoform-Only,ENST00000593801.1,chr19,59067961-59068516,NA,NA,ENST00000593801.1,0.036834434,-0.4625561,FALSE
ALKBH7,Isoform-Only,ENST00000599849.1,chr19,6373715-6375042,NA,NA,ENST00000599849.1,0.003419435,-0.6929295,FALSE
TNFSF9,Isoform-Only,ENST00000245817.3,chr19,6531010-6535931,NA,NA,ENST00000245817.3,0.030017759,-0.5008493,FALSE
